Date,Open,High,Low,Close,Voulme,Name
4/1/2010,138.650425,139.010426,135.540424,136.300419,7623904.25,STOCKA
5/1/2010,128.7917342,130.8417372,127.1717392,130.0517432,8805517.412,STOCKA
6/1/2010,131.3953381,131.5253281,128.4453261,129.0453321,7146753.321,STOCKA
7/1/2010,128.0998062,128.4098182,124.8898142,126.0898112,10991098.11,STOCKA
8/1/2010,134.9151409,138.0351359,133.3851419,137.8751469,9874051.429,STOCKA
11/1/2010,135.0024412,135.1824492,131.5924532,132.6924442,8803224.462,STOCKA
12/1/2010,128.054387,128.884389,125.614385,126.41438,9086943.82,STOCKA
13/1/2010,127.2951578,129.1051628,125.1451558,128.5051568,10717151.56,STOCKA
14/1/2010,132.2151629,133.4551689,129.4751659,130.4251619,9805651.639,STOCKA
15/1/2010,127.3837789,127.8537799,125.2637839,125.3437849,15358537.86,STOCKA
19/1/2010,129.2705906,130.9605926,127.2905946,130.5705936,8922205.926,STOCKA
20/1/2010,122.4490713,124.5190713,120.3990763,121.0990733,9027890.743,STOCKA
21/1/2010,126.1830373,127.0730293,123.9230353,125.5430383,9959830.353,STOCKA
22/1/2010,123.4637965,125.5337965,118.6238005,119.2937985,11547537.99,STOCKA
25/1/2010,124.4508731,124.6308741,120.4708781,122.6608731,12047408.75,STOCKA
26/1/2010,119.9054643,122.3254693,118.4054643,118.8254693,9552454.663,STOCKA
27/1/2010,116.5261675,118.8261705,114.2961715,118.2461685,14720261.69,STOCKA
28/1/2010,125.1016976,127.8716946,123.4717006,126.7016966,27299816.98,STOCKA
29/1/2010,134.107426,136.187428,128.477421,129.747426,29514674.22,STOCKA
1/2/2010,123.551566,125.231567,114.191566,119.241569,37778115.66,STOCKA
2/2/2010,117.1500695,117.3400715,112.7600705,116.4800715,23063300.69,STOCKA
3/2/2010,119.4732907,121.9632887,118.9132857,121.4532857,12429432.88,STOCKA
4/2/2010,113.6691037,115.3591067,110.7691027,110.9691067,12734291.05,STOCKA
5/2/2010,115.2225333,116.9925383,113.4425343,116.7325353,11018225.36,STOCKA
8/2/2010,115.0737508,116.6937538,112.2537518,112.5237558,9847137.538,STOCKA
9/2/2010,118.7472902,119.6372892,117.5472932,118.5772922,9228472.932,STOCKA
10/2/2010,115.6218181,116.2318191,113.6218181,114.9818191,6209418.181,STOCKA
11/2/2010,121.5620322,124.7720312,120.8520332,124.4420292,8387020.332,STOCKA
12/2/2010,120.9712877,121.9212917,119.4812897,121.6412937,8093312.897,STOCKA
16/2/2010,121.9708659,122.4108679,119.0908679,119.4408669,8951808.679,STOCKA
17/2/2010,112.2895738,112.3495708,110.7695768,111.5295718,8896995.738,STOCKA
18/2/2010,112.7902944,115.4603004,111.7702984,115.0303004,9769602.984,STOCKA
19/2/2010,118.1398388,119.3198308,117.2298348,117.7498318,7117898.348,STOCKA
22/2/2010,114.0097426,115.6097406,112.8197396,114.6497416,6773697.396,STOCKA
23/2/2010,114.581256,115.821254,113.081256,113.811252,7033912.54,STOCKA
24/2/2010,118.2621815,120.1021855,117.4521845,120.0221835,7392921.825,STOCKA
25/2/2010,118.9107166,119.0807146,116.5907166,118.9407156,9540807.186,STOCKA
26/2/2010,113.1264039,114.6764069,112.2464069,113.6464089,5674064.069,STOCKA
1/3/2010,121.3606975,127.3207045,120.1906995,127.2007015,13323107,STOCKA
2/3/2010,128.1607425,130.5007385,127.9507435,128.6807395,12129007.4,STOCKA
3/3/2010,123.1881544,124.7281544,122.2181524,123.6781514,6418281.524,STOCKA
4/3/2010,126.8793145,129.7493175,126.4693115,129.4293105,7518693.115,STOCKA
5/3/2010,128.4166382,128.7366302,126.3566332,128.1966372,6762166.332,STOCKA
8/3/2010,126.5169547,129.0669577,125.9269507,128.3269527,5588069.517,STOCKA
9/3/2010,132.1939884,133.4139904,130.5739934,131.4239994,6096839.924,STOCKA
10/3/2010,126.4302952,128.4902922,125.8002902,127.8302892,5598902.942,STOCKA
11/3/2010,133.1595847,136.3295827,133.0695887,136.2895897,7267895.877,STOCKA
12/3/2010,131.8410672,131.8410672,128.8210632,129.4610772,6127210.702,STOCKA
15/3/2010,128.3881546,128.6881576,125.3181626,127.8181626,6296081.576,STOCKA
16/3/2010,134.6438173,135.6938053,133.9038123,135.1938053,4166538.123,STOCKA
17/3/2010,132.5153698,132.7953678,131.3253668,131.4453618,4359853.658,STOCKA
18/3/2010,131.7313419,133.5613439,131.1513399,133.4713329,5028413.379,STOCKA
19/3/2010,131.7768418,131.7768418,127.7268388,128.4168408,8885668.348,STOCKA
22/3/2010,128.6330564,129.3930664,127.0730584,128.9030604,5367730.594,STOCKA
23/3/2010,127.575532,127.625535,124.75554,125.945528,4179955.33,STOCKA
24/3/2010,131.4607717,132.2207667,130.0207697,130.8607657,4724607.727,STOCKA
25/3/2010,131.6310369,139.4010419,130.5310309,137.2210339,16234510.38,STOCKA
26/3/2010,139.0990261,141.1890371,137.9590271,139.2590301,6607690.321,STOCKA
29/3/2010,136.5509608,137.8109708,135.5109678,136.3009608,4638709.658,STOCKA
30/3/2010,136.3106344,138.7606314,135.9306304,137.1506314,6198406.294,STOCKA
31/3/2010,138.0914758,138.8914788,136.5714718,137.8614798,4621514.758,STOCKA
1/4/2010,139.4615232,140.1715152,134.8415132,135.4715182,8822415.202,STOCKA
5/4/2010,132.9149961,133.8049951,130.8449891,131.5549951,5817149.901,STOCKA
6/4/2010,133.9410826,138.7110866,133.8910796,138.2710846,7977410.866,STOCKA
7/4/2010,138.8385723,138.9585673,136.7385663,137.7485603,5974185.653,STOCKA
8/4/2010,130.0823365,136.6223295,130.0823365,136.3323365,12642823.3,STOCKA
9/4/2010,138.1685534,138.7785544,136.5185594,137.5085504,5985585.524,STOCKA
12/4/2010,142.7503182,145.6603222,142.4303112,143.9503152,5472803.182,STOCKA
13/4/2010,137.8410822,138.5910822,135.7310812,136.7710902,4751610.862,STOCKA
14/4/2010,142.5065538,146.6665578,141.3665548,146.4465568,7921965.578,STOCKA
15/4/2010,149.2937368,151.8337298,148.7437338,150.5637408,7877037.338,STOCKA
16/4/2010,140.4786032,142.7685962,137.0485952,137.7685962,8352785.982,STOCKA
19/4/2010,141.9878637,143.3078557,138.7678627,142.0678507,6018378.577,STOCKA
20/4/2010,147.4783227,148.2883197,145.7483267,147.8483177,4348183.207,STOCKA
21/4/2010,140.7366768,144.5666788,139.0866828,141.9966718,7330066.788,STOCKA
22/4/2010,147.337527,151.417528,146.207537,150.417528,15169075.32,STOCKA
23/4/2010,147.8788735,151.5888645,144.9188665,146.1288735,19000188.68,STOCKA
26/4/2010,141.0757293,145.6057283,140.7757263,144.9857333,9297057.323,STOCKA
27/4/2010,143.4195439,144.3095429,138.9795419,139.8895449,8617695.409,STOCKA
28/4/2010,146.4712655,146.6312695,142.5712715,143.2312755,9274112.695,STOCKA
29/4/2010,137.1001641,139.4601651,136.8001611,138.7401641,6284301.681,STOCKA
30/4/2010,145.550454,145.550454,141.060464,141.250466,6155004.6,STOCKA
3/5/2010,136.8784671,139.1184721,135.7884711,137.1684751,5651384.701,STOCKA
4/5/2010,131.1629429,131.3529459,123.9229529,125.3729499,12623229.48,STOCKA
5/5/2010,129.7290335,133.3390345,129.2790365,132.6590265,9475390.335,STOCKA
6/5/2010,129.7474266,132.0774286,120.3474246,128.4574336,10186474.27,STOCKA
7/5/2010,125.1927995,128.4027915,120.9828005,122.2028015,11899827.99,STOCKA
10/5/2010,133.8599742,136.3399852,133.3899732,135.4199712,6847399.782,STOCKA
